model,msrp,lowest_price,gaming_score,Architecture,Cores/Threads (P+E),Base/Boost GHz,TDP / PBP / MTP,price_gap,value_score
Ryzen 7 9800X3D,480,472,100,Zen 5,8 / 16,4.7 / 5.2,120W / 162W,-8,0.211864406779661
Ryzen 7 7800X3D,449,381,87.18,Zen 4,8 / 16,4.2 / 5.0,120W / 162W,-68,0.22881889763779528
Ryzen 9 7950X3D,699,685,85.75,Zen 4,16 / 32,4.2 / 5.7,120W / 162W,-14,0.1251824817518248
Ryzen 5 7600X3D,299,NA,81.3,Zen 4,6 / 12,4.1 / 4.7,65W / 88W,NA,NA
Ryzen 9 7900X3D,599,NA,79.94,Zen 4,12 / 24,4.4 / 5.6,120W / 162W,NA,NA
Core i9-14900K,549,438,77.1,Raptor Lake Refresh,24 / 32 (8+16),3.2 / 6.0,125W / 253W,-111,0.17602739726027397
Ryzen 7 9700X,359,309,76.74,Zen 5,8 /16,3.8 / 5.5,65W / 88W / 105W,-50,0.24834951456310678
Ryzen 9 9950X,649,520,76.67,Zen 5,16 / 32,4.3 / 5.7,170W / 230W,-129,0.1474423076923077
Core i7-14700K,409,303,75.76,Raptor Lake Refresh,20 / 28,3.4 / 5.6,125W / 253W,-106,0.25003300330033007
Core i9-13900K,589,428,75.4,Raptor Lake,24 / 32 (8+16),3.0 / 5.8,125W / 253W,-161,0.17616822429906542
Core i7-13700K,275,345,74.94,Raptor Lake,16 / 24 (8+8),3.4 / 5.4,125W / 253W,70,0.2172173913043478
Core 9 285K CU-8200 | DDR5-7200,589,573,74.17,Arrow Lake,24 / 24 (8+16),3.7 / 5.7,125W / 250W,-16,0.12944153577661432
Ryzen 9 9900X,499,370,74.09,Zen 5,12 / 24,4.4 / 5.6,120W / 162W,-129,0.20024324324324325
Ryzen 5 9600X,279,207,72.81,Zen 5,6 / 12,3.9 / 5.4,65W / 88W,-72,0.3517391304347826
Ryzen 9 7950X,569,488,71.65,Zen 4,16 / 32,4.5 / 5.7,170W / 230W,-81,0.14682377049180328
Core 7 265K CU-8200 | DDR5-7200,394,298,70.77,Arrow Lake,20 / 20 (8+12),3.9 / 5.5,125W / 250W,-96,0.23748322147651005
Core i5-14600K,319,192,70.61,Raptor Lake Refresh,14 / 20,3.5 / 5.3,125W / 181W,-127,0.36776041666666665
Core i5-13600K,225,265,68.64,Raptor Lake,14 / 20 (6+8),3.5 / 5.1,125W / 181W,40,0.25901886792452833
Ryzen 9 7900X,474,335,69.71,Zen 4,12 / 24,4.7 / 5.6,170W / 230W,-139,0.20808955223880596
Ryzen 7 7700X,349,276,68.33,Zen 4,8 / 16,4.5 / 5.4,105W / 142W,-73,0.24757246376811592
Ryzen 7 5700X3D,229,262,67.46,Zen 3,8 / 16,3.0 / 4.1,105W / 142W,33,0.2574809160305343
Core 5 245K CU-8200 | DDR5-7200,309,279,67.39,Arrow Lake,14 / 14 (6+8),4.2 / 5.2,125W / 250W,-30,0.24154121863799283
Core i9-12900K,589,NA,66.92,Alder Lake,16 / 24 (8+8),3.2 / 5.2,125W / 241W,NA,NA
Ryzen 5 7600X,249,209,65.62,Zen 4,6 / 12,4.7 / 5.3,105W / 142W,-40,0.31397129186602873
Core i7-12700K,209,197,63.06,Alder Lake,12 / 20 (8+4),3.6 / 5.0,125W / 190W,-12,0.3201015228426396
Core i5-12600K,150,150,58.61,Alder Lake,10 / 16 (6+4),3.7 / 4.9,125W / 150W,0,0.3907333333333333
Core i5-14400,225,176,52.67,Raptor Lake Refresh,10 / 16 (6+4),2.5 / 4.7,65W / 148W,-49,0.29926136363636363
