metric,q4_2024,q4_2023,fy_2024,fy_2023
Net revenue,14260,15406,53101,54228
Cost of sales,8676,8359,35756,32517
Gross margin,5584,7047,17345,21711
Research and development,3876,3987,16546,16046
"Marketing, general, and administrative",1239,1617,5507,5634
Restructuring and other charges,57,1142,6970,-62
Operating expenses,5172,4462,29023,21618
Operating income (loss),412,2585,-11678,93
"Gains (losses) on equity investments, net",316,86,242,40
"Interest and other, net",129,117,226,629
Income (loss) before taxes,599,2788,-11210,762
Provision for (benefit from) taxes,752,128,8023,-913
Net income (loss),153,2660,-19233,1675
Less: net income (loss) attributable to non-controlling interests,27,9,-477,-14
Net income (loss) attributable to Intel,126,2669,-18756,1689
Earnings (loss) per share attributable to Intel—basic,0.03,0.63,-4.38,0.4
Earnings (loss) per share attributable to Intel—diluted,0.03,0.63,-4.38,0.4
Weighted average shares of common stock outstanding:,NA,NA,NA,NA
Basic,4319,4222,4280,4190
Diluted,4319,4260,4280,4212
NA,NA,NA,NA,NA
(In Millions; Unaudited),28,2024,NA,NA
Earnings per share of common stock information:,NA,NA,NA,NA
Weighted average shares of common stock outstanding—basic,4319,4222,NA,NA
Dilutive effect of employee equity incentive plans,38,NA,NA,NA
Weighted average shares of common stock outstanding—,NA,NA,NA,NA
diluted,4319,4260,NA,NA
Other information:,NA,NA,NA,NA
(In Thousands; Unaudited),28,2024,30,NA
Employees,NA,NA,NA,NA
Intel,99.5,115,116.2,NA
Mobileye and other subsidiaries,5.4,5.4,5,NA
NAND1,4,3.7,3.6,NA
Total Intel,108.9,124.1,124.8,NA
