...1,...2,GAAP,...4,...5,Non-GAAP,...7
NA,Q4 2024,Q4 2023,vs. Q4 2023,Q4 2024,Q4 2023,vs. Q4 2023
Revenue ($B),$14.3,$15.4,down 7%,NA,NA,NA
Gross margin,39.2%,45.7%,down 6.5 ppts,42.1%,48.8%,down 6.7 ppts
R&D and MG&A ($B),$5.1,$5.6,down 9%,$4.6,$4.9,down 6%
Operating margin (loss),2.9%,16.8%,down 13.9 ppts,9.6%,16.7%,down 7.1 ppts
Tax rate,125.5%,4.6%,up 120.9 ppts,13.0%,13.0%,—
Net income (loss),NA,NA,NA,NA,NA,NA
attributable to Intel ($B),$(0.1),$2.7,down 105%,$0.6,$2.3,down 75%
Earnings (loss) per share,NA,NA,NA,NA,NA,NA
attributable to Intel—,$(0.03),$0.63,down 105%,$0.13,$0.54,down 76%
